cleaned_text,label
سلام ادبیات آور اوایل متوجه شاهکار روبروست جهان بینی موافق فضای ذهنی دوست خواندن لذت لذت بردن نشده دان رمان شاهکار فهم مشکل خواننده گرد اتفاقا وقت گذاشته رویش کار نظرات ایجاد تمایل خودکشی خواننده موافق نیستم جنایی خوان تمایل جنایت ناممکن وجه معمول خواندن دلیل مضامین خیانت زناشویی بیست اندی سال توصیه امید رود جوانترها فضای فکری پاک زلالی پرورش یاب ذهن درگیر مسائل,1
طوری رمان خوان مطالعه نمونه سورئال ایران سورئال منطق رئالیسم ناتورالیسم فرق قرار گوی نتیجه بردا گذار توضیح مثال بلوطی پیر پای کوه بلند نیم آتش سوخت نیم دیگرم باد برد بیت حامد عسکری خوان حامد درخت آتش باد شاعر احساس خاصی پرس بیت سرا لذت احساس درک بیت اتفاق افت اتفاق متناسب دنبال برداشت گرد خودتان کلنجار عده فضای انگیز سنگین انتقاد قرار سبک شاد قرار نتیجه اخلاقی پایان برا توضیح قرار پایان مشخصا دنبال اصلا سورئال خوان سورئال رمان خوان کتابی جلد سنین سال حدی نیستم خواه نقدی نویس مطمئن نقطه غایی سورئال کشور تردید موضوع منشا چشمه جوشانی سبک نویسندگی تفکر مدرسه عیار انسانی عشق نفرت همزمان غیرت تعصب عاری خیالی انسان پایین حتا میل زشتی تلخی میل گناه میل نیکی عمر زید انکار سخت هراس سخن آخر سورئال قرار واقعیت توهم خیال رویا تشخیص تعریف سورئالیسم اوج نشان حالت نشان هری پاتر ارباب حلقه سورئال گوی اشتباه بارقه سورئالیسم نمونه سورئالیسم یاب زندگیتان یاب یاب خواندن هیجان تلخی لذت کسب,1
خوان خواه خوان بسنده صورت احساس دانستن کاذب دست محصول نادانی,1
شاهکار درست کاش ایرانی جماعت یکبار اسطوره لطفا خیل عظیم کار متوسط خوان مسئله خاطر چارچوب ضعف ناآگاهی صورت اجتماعی قضاوت سیال ذهن ادبیات مدرن آشنایی مشکل شماست عزیزجان نسخه پیچ مضحک خوان وقت تلف مشکل طرز فجیع راجع دایره واژگان کلمات قلنبه سلمبه نیامد موظف دانش واژگان نویس,1
ترس فردا میر خودم شناس دوست,1
کتابهای دست کتابهاست دقیق عمیق مطالعه بایکبار مطالع دستگیر آدم نمیشه بدلیل قلم سنگین توصیفات صحنه دشوار کتابهای دلیل نمیشه ماهم دنیا زده خودکشی انتخاب دنیای آدمایی لذت نمیبرن دنیا براشون قشنگی نیس میگذره میخواد بگه شکاک اعتیاد هرزگی انزوا دوری دوستان شهوت پرست مسائل دیگه هستن انسان سیر میکنن,1
توی بمبئی هند نسخه چاپ نسخه تایپ نسخه فروز همون دوره حسین قلی مستعان نسخه چاپ مردم کیلومتر بند بخونند چرند پرند مان مزخرفات چندبار تحدید چاپ الآن حسین قلی مستعان جاودانه بسه شرمیه فرمای مخدرات مسکرات مصرف نوشتن شاهکار تکنیک نشئگی ریز منتقد ادبی نمیشه اواخر عمر فرانسه شهرت رسیده اخبار مردم درمورد حرف هاش مجله فردا نشریه فرانسوی چاپ نقد تحلیل آثار برگزیده منصور هاشمی مستندند تون منبع بهتون معرفی فرمای خودکشی دروغ محض,1
نظرم اوضاع نفر اختلال روانی اونقدر خواننده روانی سالم,1
روانپریشیو متبحرانه القا,1
نثر قوی نگارش آثار حرفی گفتن باقی ذاره شهرت آثار محدوده مرز وطنش فراتر رفته تحسینه نکته یکسری آثار منی اوان نوجوانی کتابا اینو متوجه میشم هنوزه آثار منفی مطالعه سروکله زمانی خونده ایدئولوژی ساختار منسجم رسیده سادگی فروپاشی نباشه وگرنه نگارش قوی نوجوان بوجود میاره هرچ میگه درسته اینطور زمانیکه تازه اجتماع کلا زده ممکنه آثار آدم بوجود بیاره امیدوارم قشر دانا جامعه طاقچه ورود کنن توی زمینه,1
نصفه همینجوری انگیزه جلو میخواد برسه معنا رسه خواسته کوله باری توهمات درهم برهم آدرس تقدیم مخاطب اوایل متوجه قطعا واژه قرار گرفتن ربط جملات ربط تری سازن آبستن معنا هستن واقع نمادن توقع نصف مختص مخاطب هوا وضوح تلاشه قبح چیزها بریزه مثلا دلیلی نداره همسر شخصیت خواهر شیر قرار بده تمسخر دهن کجی زیرسوال بردن مقدسات بدیهیات مردم کشور جزو محوری ترین سوژه لابه لای جملات فریاد الله اعلم آخرای دلم شخصیت سوخت بغض فرو اونقدری معروف انتظار قراره انسان بده تعالی بده نگاه زیبا انتقال خرواری تاریکی پوچی سردرگمی ناکامی معانی رکیک آشفتگی پریشانی خواننده بزاره پایان,0
چندین پوچ گرایی توی هاشون موج میزنه ناامیدی نهایت خودکشی توی دنبال ارزش هدف,0
احترامی سلیقه معتقد آدم بخواد کتابی بخونه چندین موضوع دقت مثلا لذت ببره مطلب آموزنده هرچند کاربرد مفید یاد بگیره بسا رمان روانشناسی تاثیرگذار دلیل سبک زیبای داستانی شون موارد دیگه بدی بهم منتقل مطلب آموزنده وقت آدم ارزش حرفاست,0
متنفر معلوم نیس میخوان بگن فضا تاربک مبهم بدم میاد میخوندم شبا کابوس نصفه کاره ولش قول سهراب خوان کتابی باد پوست شبنم عالم بگن کتب خوبیه میگ بدترین چیزیه خونده,0
ادبی جزء آثار شاخص محتوا فضای تاریک خفقان آور تصویر دیدگاه صاحب نظران معاصر بازتاب شرایط خوان گوی اتاق کثیف وهم آور دود متزلزل شوی دختر اثیری نگاه والایی نهایتا شراب زهرآگین عصاره مادرش برد شخصیت بانوان ناکام همگی چنان مردها مادرش تقریبا دنیا انسان ناکام سرخورده ارتباط برقرار توان آینه نگاه سایه ارتباط دردش بازگو فلاکت فلاکت,0
نوشتن سخته کمتر میتونه ادعا کتابو فهمیده اگه سابقه چندانی رمان خواندن قولی کتابخوان نیستید شرایط روحی چندان نداریداز راهی امدید برگرد دلیل واضح مایه اکثر مرگ اندیش یادم میاد سالم زنده بگور خوان انچنان مرگ شیرین صحبت هوس مرگ امتحان انتقاد جامعه دین خرافه پرست زبانی تند عمیق مفهومیست سرآمد رمان عمیق مفهوم سرتاسر نماد مختلف کار مفاهیم عجیبی اگه کتابخوان دنبال تجربه متفاوتید دوست دنیا نگاه توان تجربه جالب احساسی خواندن دست آور احساس ناب درجه کمتر کتابی مخصوصا رمان ایرانی توان جهان بینی علاقه مندی شگفت زده حاشیه اطراف توجه اکثر انها توسط نورد یکبار نخواندن منفی ونقادانه سراغ رمان دیدگاه موافق نیستم دوست گاهی اوقات نشین طرز زندکی معنا اصلن فایده رمان خواندن مقاله تحلیل پرداز خواندن خالی لطف روح شرح متن سیروس شمیسا هراس مرگ ساخت شکن روان تحلیلگرانه محمد صنعتی راستی اگه سبک نوشتار امده خواندن کتابهای سقوط آلبر کامو نامیرا آندره ژید میتونن تجربه براتون,1
حقیقت حقیقت تلخ حقیقت شیرین دیدن حقیقت تلخ راحت دست تره موفق حقیقت شیرین حقیقت شیرینی میگه حقیقت تلخی وهم آدم افسرده تصویر کشه عجیب کار اینه دوست اینا باور مفید فرهنگ نخونیدش,0
کامنتارو زده میشم هرکس نظرشو درمورد بگه اینهمه توهین احترامی تاسف کاش یکم حرف زدنامون دقت,0
بنظر اعتقادات مدل گوسین آمار پیروی عده محدودی هستن فاز پوچی مدل اینا هستن عده محدودی هستن مذهبین اکثریت وسط منم جزو اکثر حالم بهم میخوره کتابای مسخره دونم مدل داستانی بنویسه افسر برو دکتر دلیلی نداره روح روان مردم بازی نکته دقت میخونه فهمه آدم فهم آدم افسرده شکست خورده ایه متنا ارتباط عمیق تونه برقرار خودتون افتخار نکنین,0
فهمیدن کارهای طلبه شنگولی خور عقلت زایل تریاک شنگول نتیجه پوچ هستی پوچه خودت راحت هاست چیزهاست فهمیدن کار ماها,0
فارغ نقد لایه معنا جملات داس خونی احساس روح کدر کدر پسند,0
هرکس جور طرز نگاه سلیقه نظرم زیبایی جهانه جور دیدگاه باهم چالش میشن خودم شخصه دوس آدم میتونه خوش چیزای کوچیک لذت ببره بخواد قول بازاریا بزنه مال سال بیست سال الان حجم عظیم گرفتاری مختلف آدمو فرا اینجور مونه امیدوار آدمو دلسرد خوشیای سفر دنیا رژه ماشینای میلیارد خیابونای لاهیجان تله کابین سواری عوض مشکلای بهتره دیدن آفتاب خند,0
چیره دست اعتقادات یکسری اقشار اونجاست خراب تشبیه اذان صدای روابط جنسی پسر بچه روح جامعه تعارض,0
اثریست بحث روانی نام براستی بنده نوجوانی کنون بیست آنرا خوانده بحث دان همانند سهراب سپهری مطابق اظهارات نامه خواهر اشعار خودم سرا چاپ لزوما درک خوانندگان آثار قصد بقول مولانا هرکس یار خواننده تأمل تفکر فهم جهان بینی مفهوم آور سالها خواندن خواندن شعر شاسوسای سهراب فرموده لحظه پوچ قدرت ذهنی پرواز آوردن عجیب خور تمجید,1
کسل یکنواختی تشبیهات تکراری حوصله هنر تکیه المان شهوت توهم کتابی توهمات حالات نعشگی خماری معتاد روان پریش بیماری جنسی خودخوری شخصیت بازگو میخواد بخونه توصیه نخونه دست نمیده چیزای نگه میداره طراوت شادابی روحی امید کسا میخوان خودکشی کنن منتظر اشاره برا تصمیم نهایی هستن حتما بخونن,0
چاقو جنبه جنبه پوست میوه جنبه جنایت هایش جنبه منفی آگاهانه استفاده کتابهای ایشون تکنیک نویس مطالعه قطعا خواندن چندین مخاطب عام گیج خاصی اعتقادات بازی میگیره,0
امان تعصب دین شخص هردو صورت جهله داستاناش متعصبای مذهبی باد سخره میگیره همون کسا اونارو هوای طرفداری مقابل نظرات مخالف ادم متعصب میشن,1
افسر فرجام ناگوار خودکشی زتدگی دوست دارن اندازه سیاهی رنگ,0
کاش زودتر اینها میخوندمش,1
خواندن توصیف حجم خشونت خیانت افعال چندش آور اصلا جالب ستاره,0
نصف نتونستم اصلا دوست داشتنی شدت حالمو,0
جزو فرقه نهیلیست تبلیغ تبلیغ خودکشی ؟؟؟ آدم گلی زده بزنه مگه هرک بلده بنویسه درد بشریت میخوره فرهنگ منهای اخلاق نیستی همون اعتقادات,0
کار ایرانی خوشش میومده نظرش اسلام کلا اگه موضوع باور درگیر میش بهش کلنجار میر تجلی نمیخونیم فضای افسردگی ناامیدی هرچقدر بهانه دست پنجه نرم میش آینده دیدگاه طرز فکرهاست ساخته فضای داستانی شخصیت مرتبطه انسان افسر دیدگاه دنیا خداست نتیجه پوچی افسردگی میرسه نتیجه خدا ناراحتی هاست متن تجلی بهانه جهانی براش امتیازات قائل میشن درحال دلیل جهانی دید اینه خدایی دنیا آنهایی ترجمه استقبال خودشون زمره خدا قرار میگیرن اتفاقا افسردگی دارن شخصیمه نظرم بقیه تحمیل معتقد اتفاقات جریانات احساساتی زندگیش میرسه ذهن پرورونده ساده بیست خطی آنچنان تصمیم ایجاد نمیشه,0
سیاه,0
نخوندم نمونه مصمم نخونم کلا پسند دوست کتابی میخونم محتوا امیدوارانه برعکسه وخیلی طورکه مرگ خودکشی,0
شدت مزخرف سیاه درد میخوره قصد خودکشی کتابی ارزش نداره همونطور انسان خوره هرچیزی مغز حکم مغز حیف وقت آثار آدم ستاره زوری جهت درج,0
العاده معنی,0
ترس فردا میر خودم شناس,1
ثقیل عجیبیه قسمتایی متن غرق میشی یهو بینی فضا فضای دیگه متوجه اتفاق افتاده,1
احترامی هنر قائل ایشون انسان روان پریش بیمار اکثر هاشون برآمده پریشانه آدم نامه نوشتش خونه دلش سوزه دوست زمان ایشون باهاشون صحبت کار دستم اومد براشون انجام خواندن رمان ایشون آدم دونه فرم لذت ببره محتوا تأثیر محتوا غالب فرم بیشتره اصطلاحا لفظ فانی معناست نهایتا معانی تاثیر منفی خودشون گذار مقابل رمان برآمده روح پرنشاط امید مومن آرامش روانی انسان هدیه رویا نامیرا جشن حنابندان جانم رود مملوند عشق پاکی اخلاق صفا مهربانی امیدوارم زندگیتون مملو آرامش امید,0
مزخرف سیاه پوچ معنا,0
احساس دورانی دوستان متوجه نشدن مفهوم ارائه نظرات روشن چیدن کلمات اصطلاح قلبمه سلمبه عقاید بنیاد چالش بیندازند اتمام رسیده وضوح اشتباه درگیر موضوعات متوجه عمق اشتباه دوستانی وقتشون ارزش قائل دنبال مفید صرفا گیج باشن وجه مطالعه نکنن,0
علاقه,0
مجبور نکرده حرف مان وسط اپرا موسیقی بیهوده تعلق تشریف کوچه نوای تنبک گوش بیافرینم قدردان عمر مبارک جمله خلق نکرده کافکا سخیف شکم زیرشکم اندیش,1
محتوا,0
ستاره بله ستاره خواندن عموم توصیه هرچند جنبه گوناگون ذهنی روانشناختی ادبی اجتماعی فلسفی مطالعه مناظره لیکن ورا مطالعات توان اثرات مستقیم سنخ حالات درونیات احوال آدمی نادیده صفات بیماری اخلاط ترشحات اجزا موجودی زنده منتقل روایت سیال ذهنی جنبده آغشته تالم عمیق رنج پایان سقوط فلسفی اخلاقی همانطور اذعان وامانده پاسخ سوال اساسی دست انتحار فلسفی زده آشکارا هراس صحت ادعای زند ذهن پایین ترین مملوس ترین انتظار بدن بیمارگونه لولد دود آرام فلسفه تهی فلسفه مرکب خواهش ترس بدن,0
ماهر تواناست اندازه باهوشه سبک سئورئال تاریک پوچ گرایانه ایشون لذت خواندن تجربه نفرت انگیز نتونستم ارتباط برقرار طرفداران دارن اکثرا برخلاف ایشون رفتار کنن طرفداران مسموم متعصب خوش دیگه تافته جدا بافته درصورتی آدمهای متعصب بازندگانی نمیگم سری توقع حجم کوته فکری توهین کامنت چقدر نظرات احترام بذار,1
زور آخرش دوس حقیقتا سبک نوشتن برام جالب دوست دلایل اپلیکیشن دیگه طاقچه ترجیح مید هروق نظرات طاقچه خون حجم انتقاد خشونت کلامی لحن حالم اپلیکیشن کتابخوانی عجولانه متعصبانه بهم انتقاد ؟؟؟ ؟؟؟,0
دلجویی امید نیستی مرگ باور نمیشه نفر تونسته انقدر فضای ناامیدی توصیف زبون بیاره افکار هاش اینه کاشکی زنده صحبت متن ادبی قوی جملات توصیفات همش العاده خوف,1
اتفاقات گوناگون توان چینش مناسبی پیرنگ بیاورم بعید دان قادر خلاصه رمان تعریف معلوم دنیای خیالی گذر دنیای واقعی شدت سرگرم شخصیت آنچنان عمیق احساسات درد هایش دنبال ربط اتفاقات نیستیم کلمات جملات افیونی انسان لحظات فراموشی دنیای واقعی انگار خواندن جملات توصیفات لذتی جداگانه قلم آنقدر قوی پوچی افسردگی درد روحی شخصیت خواننده القاء دلیل روز توان مطالعه شخصیت اطرافیان جامعه خداوند عنوان نیروی برتر نتوانسته ارتباطی برقرار انسانی خواه اتکاء تنهایی حتما تال روحی خواندن پیشنهاد نظرم جمله توان خواندن صدق زخم خوره روح آهسته انزوا خور تراش,1
سیزده درد مشترک ایرانیان نویس اکثر ران تفکر ترج شرا منافع شخص منافع ترج طناب مفت حاضر بزن بدب خوش تما نواقص رفع انها اقدام کار اظهار فضل گفتن دان شرم کلمه کار غالبا مهارت دانش ترج شتر گذشته نده فراموش دوراند برنامه عاجز روزمرگ عقب افتادگ مان گردن گران توطیه انها انداز برا جبران قدم دایما گران خودمان عمل اخر آخر سال تنهایی اگاهی خونده,1
افتضاح اثری خدا یاس ناامیدی مزخرف مزخرف,0
قلم ادبیات ذهن شدت مشوش قوه خیال داغون احساس روانی ادبیات قوی پشیمون ذهنمو ریخت,0
عزل سود امروز سود فاز,1
نظرم مسخره معنی آدم امیدی تاریکی کلا توصیه نخونید,0
اثار دوس میخونمش نمیدونم انگار میفهممش برعکس میگن بدی القا سیاه نماییه اصلا اینطور زوایا پنهان انسان نشون میده,1
اصلا فهم اخر چیشد احساس پوچی پسند,0
هروق راجب میاد میده دوست دیگه تکبر بیاد پاسخ میده درکش فهم نظرات روال تکرار بابا چکار خودتونو بدید چکار نظرات نماد درک فهم,0
شاهکار روح شاد مرد درد کشیده,1
ارزش اینو نداره وقتشو هدر بده ذهن مریض معلوم الحال توی راحتی عامه مردم اعتقادات اونا توهین اونا رجاله خطاب قبح اعتقادات مردم توی شکسته افتضاحه مثلا ازدواج خواهر رضاعی ازدواج محارم حساب دلیلی شخصیت قالب خواهر شیر بیاره ؟؟؟ موقع اذیت میکنن اونایی طرفداری میکنن درک خواهشا توضیح بدید دستگیر ؟؟؟؟,0
ادم نهلیسم پوچ گرایی کشان,0
حرف,0
شنو راستش کتابی زور تموم هدف دان پسند,0
بنظر زیبا ترین رمان ایرانه دقیقا میتونین اونو تصور کنین عجیب,1
زمانی کودکی خند باور دنیا خندیدن زمانی انسان ناتوان خستگی پای آور گمان برد خستگی جهان پای درآورده ناامید دوست امید لجوجانه تبلیغ سرخوردگان مایلند سرخوردگی اصل جهانی ازلی ابدی قلمداد پوچ گرایان اثبات پوچ جهانی عاشقانه شادمانه جنگ پاره پاره روشنفکر خواه بیمار روح سرایت دلیل رذالت حساب هرگز لحظه سفر دشوار گرفتار امیدی امید بازگرد امیدی نابود عاشقانه آرام نادر ابراهیمی,0
صادقی حجم زیبایی شگفتیه دنیا کمترین سلیقه بدنبال سیاه نگر ناامیدی خواندن توصیه مردم ایران فهم خدا عاقبت یکسری دوستان میگن ادبیات فارغ محتوا نگاه متعجب هدف استفاده ادبیات فراموش رساندن محتوا ادبیات استفاده محتوا محتوا ناسالمی سالبه انتفاء موضوعه دنبال شاهکار ادبی هستین بدنبال آثار جلال برین نقد چندین خوندمش دوستانی میسازن پیشنهاد هاشو حسه روشنفکری بخونن مثله مرگ دست پراکنده ایرانی متنفر چندین موضوع تصریح آنوقت سنگ سیاه اورا سینه,0
گیج مرموز,0
قسمت حالم آدم ناامید شدیدا افسردس میخواد حالشو بقیه منتقل ارزش نقطه روشن نمیتونم تصور انسان چجوری انقد سیاه منفی بنویسه واسه ارزش قائله کتابو بخونه طاقچه لطفا کتابهای خوبتو رایگان اینارو,0
افکار پوچ بند موج میزنه,0
پوچی دست,0
ظرف خوشگله توش هیچی,0
روح قوی کتابو بخونید حتما لذت معرض افسردگی تازگی خودتون پیشنهاد قید بندش هوای خاصی لذت زجرآوره طرفی توجه اینک افسردگی شدید رنج برده قطعا دست هاشم غبار اندوه,1
شدت مزخرف,0
امان قلم طوفان,1
دوستان عزیز رعایت ادب یادتون نره دوستان خوان خواننده قطعا میزان درکش بالاس کامنت کامنت اینستاگرامی مقایسه,1
حیف احساس مگس پیچ حیف خواندن هدر کارو ذره مثبت اندیش درست انگاری ذهن میتونست زیبا ترین هارو بنویسه حیف حیف خواندن,0
بدرد نخور,1
روایت دردناک پیچ ادبیات العاده ناخوشایندی آدم بوجود آور توان نیاید سلیقه ایی پیشنهاد خوان متوجه آثاری همانند رادوست خیر خواندش خالی لطف,1
ستاره بتون بدم کتابی یاس ناامیدی القا فایده منفی اگه روحتون ارزش قائلید مطالع وقتتون حیفه,0
نرم افزار طوری طراحی میخونیم گرفتن بهمون دست بده متن ساده برگه زدن,1
تلخ مینویسه هاش سوهان روحه توصیه اصرار بخونیدش روزوسایل خودکشی خودتون توصیه,0
مزخرف معنا فضای روح سرد ملحد افسرده تریاکی نمیشه انتظار,1
درخش نقل هفته نامه کرگدن شماره تاریخ شاهکار سال هند صورت چاپ دستی توسط منتشر علی رغم گذر طولانی ایران کشور دنیا مطرح داستانی زبان دنیا ترجمه زبان کشور کشور انگلیسی زبان هفت کشور مستقل جداگانه زبان عربی اسپانیولی کشور تکلم توجه اساتید دنیا قرار اشاره اظهار بزرگان اساتید هانری ماسه آندره روسو فیلیپ سوپو رنه لالو پاستور والری ژیلبر لازار کمیساروف ونسان مونتی مایکل هیلمن سید اختر حسین اوغوز دمیر آلپ خارج ایرانی دکتر پرویز خانلر رازین مرتضی صراف حسن قائم قطبی همایونی دکتر جنتی عطا دکتر همایون کاتوزیان دکتر سیروس شمیسا محمدرضا قربانی یوسف اسحاق پور دکتر احسان یار شاطر سیروس طاهباز دکتر بهرام مقداد محمد تقی غیاثی پرویز داریوش دکتر هرمز رحیم مناسبت نظرات مطرح ملهم فیلم نورد فرض نظریه صحیح شاهکار اثری نویسندگان ادبا جاده دراز توان بیایید فیلم تئاتر صدای هیاهوی باد الهام نویس کشاندن عظمت جانب فیلم مطلقا توان بزرگی پله پایین بیاورد خواب نما صدای غیبی توی گوش خوان کتابی قرار کتابی شهرت عظمت دست معمولا پانزده سال انتشار گذر کتابی سال زنده پاینده اوج شهرت مان دنبال عوامل گشت عوامل افتاده اهمیت گذار سنگ بنای نام ادبیات غنی کهن آثاری دنیا آثار دنیا مطرح مولانا توان نبوغ سوال سنگ انداز بلا دان کاشفین تقلید ایران خیل خوانندگان ترجمه منتقدین امریکا کانادا اروپا ژاپن روسیه غیره نفر متوجه نشده تقلید بافتن ساخته دان کشف ایرانی خودمان تبریک بگوئیم تعجب اساتید خارجی موضوع هرگز تارک ادبیات معاصر ایران درخش,1
نظرم محتوا حوصل,0
مطمعنن ایشون طرفدارای دارن اصلا ارتباط برقرار مخاطب خودشو میخواد بلاتکلیفی پوچی میون کلمات موج جمله باصدای بلند تویه,0
پیشنهاد اوج تفکرات احساسات داخل دید اوج درماندگی شخصیت قطعا بازتابی شخص خواندن عجیبی عجیبی القا سوای انگیز لذت مطالعه,1
تقسیم,1
زیبا دلنشین الان سومه میخونم تشنه مطالع میشم,1
سختی شیوا رسا انگار استعاره توصیف اوهام کتابی بتونه درک روخوندم رها صادقخونها میتونند بخونند استاد ادبیاتمون,0
هنری توصیه شدید اگه افسردگی معرض افسردگی فعلا نخونید,1
روان پریشی دوست دارن روح سالم شادی توصیه متنشم روان تعجب کتابو رایگان بخونن کتابای شاد زیستن گرونه رایگان کردیو,0
سورئال رئال رئال کتابیه خودم سرزنش اینقدر دیر بعدا خوان سطحی امروز درش شدت لذت کیمیاگری طلا کلمات روح مکروه جملات ارزش طلا شبیه رقاص شعبده قلم دیگریست,1
حوصله یهو پایان جذاب تخیل پسند هرچند محتوا پوچی ناامیدی پسند بخاطر توصیفات نمادسازی جالب نظرمو جلب تخیل درهم پیچ چرخه مدام مدام تکرار میشدن تروما آسیب شدید توی ناخودآگاه ریشه زده گاهی علامت نشونه هشیاری میاد چرخه تکرار زخم کهنه درمان نشده هرازگاهی چرک تازه وجدان بلاتکلیف تخیل ناب,1
شاهکار ادبیات ایران واسه دنیا فضای شدت تاریکی کارا ادگار آلن لاوکرافت جرات مدرن ایرانه میگ شاهکاره,1
طبیعیه هرکس نمیتونه ارتباط برقرار مخاطب خودشو میخاد,1
چرت,0
رفتن پایان بازی میتون بگی پایان منتقل آغاز سراب صرفا تصورات پیرمرد انعکاس نفرت درونشه خودکشی گذار کشت کار آغوش رضایت مطلق مرگ خونی فریاد بلند خون راوی خون قول لکاته احتمال دیگه متصوره موکول کنکاش ذهنی خودتون جهات لذت میتون بگم نود درصد خانم بیزارند زنها غالبا میل موج میزنه مرد نوعا میل مرگ مشابه ارگاسم جسمی خیال تجربه,1
فهم داستانی خدایاحیف شدوق تلف خلاصه ازنویسنده تشکرمی شایدبخاطری ازر جورفکرمی,0
دوس,0
راجع عقده جنسی کمبود توهمات افسردگی شدید رنج میبره عوالم غرقه شخصیت پیرمرد خنزر قوزی عباپوش شال گردن ریش بلند قالب میبینه همش توهمات,1
باسلام رمان سورئال جذاب عامه پسند طرفداران ذهن خیال پرداز قوه تصورتون خوبه میتونه شمارو جذب موفق,1
شخصه نتونستم ارتباط شاخه شاخه کلمات سخت وقت گیره توصیه,0
حزن زیبا شکل اصلا کتابهای اندوهگین دوست قلب حاجی آقا پیشنهاد مطالعه سال عزیز,1
سورئال تألیف نویس دوست نقاشی تصویرگری بدک جاذبه نصف رغبت ادامه ماهری قواعد نویس پرهیز تصویرگری توصیف افراطی رعایت نکرده توصیف رگبار فایده چشم ذهن خواننده درگیر خسته حاضر توصیه دوران ارزش الان دنیای پخته عمیق قوی انصاف تحلیل رعایت ظاهرا جرگه مخالف پیوند,0
اگه احساس نفهمیدیدش بخونید سریع نیاین نظرای منفی بدین,1
خودم راست ستاره آسمان ستاره تاریک معنی اصلا ستاره,1
زیبایی یکم پیچیدست انقدر تشبیهات جملات زیبا بجا بکار برده همراه دوستانه مرگ خوشایند دردناک تصویر کشیده میخواد بگه مرگ رهایی آزادی انسان قطعا افکار واقعی سرچشمه میگیره خودکش ولیکن پیشنهاد بخونیدش جالبه,1
درکی آثار ندارین مجبور نیستین اینجور بدین برین پائولو کوئیلو بخونید ارگاسم روحی برسین,1
مخاطب دلیلی مطلق کتابیه بخاطر تفاوت سبک دوران منحصر تمجید دلایل ترد انگ پوچ گرایی بهش زدن چنتا مقاله نقد تفاسیر شنو اندازه تفسیر اقایی نسخه قدیمی جالب خواسته ادماس کمال مطلق میخوان عواقب نمیکنن یجورایی حقیقت خودشون واقف نیستن هنری میلر آمریکایی معاصر کتابی خوان رنه لانو اهمیت هنر معنی آبرومند کلمه صریح جلوه اخر پیشنهاد یکبار خوان نسخه سانسور,1
قطره خون نمونه رمان نویس نویس طبیعتا سلیقه هرکس متفاوته سلیقه پرورش زمینه کوتاه نویس خواندن مکرر کوتاه تجربه احتمال قطره خون لذت,1
الهام چهره سرشناس ادبیات سینما ایران اینطور حرف زده اگه بهشون ایراد بگیره میگن شخصیه ایراد گیرنده تعصب حرف میزنه آدمی علاقه مودب پوره میخونه تشنج,1
کتابی تصویر العادس کتابای خیل خوبن عینه سرد خاکستری آدم منتقل کنن خونه تونه احساس پرمخاطرس روح زده,1
دوست نظرم خسته طوریکه آخرش نخوندم حوصل,0
